,url,address,title,area,bedrooms,bathrooms,garages,price,date
1602,vivareal.com/imovel/apartamento-3-quartos-kobrasol-bairros-sao-jose-com-garagem-98m2-venda-RS630000-id-2514803611/,"Rua João Batista Derner Neves, 120 - Kobrasol, São José - SC","Apartamento com 3 Quartos à Venda, 98m²
",98,3,2,1,630000,2021-04-28 
1603,vivareal.com/imovel/apartamento-3-quartos-floresta-bairros-sao-jose-com-garagem-96m2-venda-RS630000-id-2514247810/,"Rua Rudolfo Jacob Schaeffer, 0 - Floresta, São José - SC","Apartamento com 3 Quartos à Venda, 96m²
",96,3,2,2,630000,2021-04-28 
1604,vivareal.com/imovel/apartamento-3-quartos-jardim-cidade-de-florianopolis-bairros-sao-jose-com-garagem-83m2-venda-RS420000-id-2514143074/,"Rua Pedro Bunn, 203 - Jardim Cidade de Florianópolis, São José - SC","Apartamento com 3 Quartos à Venda, 83m²
",83,3,2,1,420000,2021-04-28 
1605,vivareal.com/imovel/apartamento-3-quartos-barreiros-bairros-sao-jose-com-garagem-88m2-venda-RS350000-id-2515201465/,"Barreiros, São José - SC","Apartamento com 3 Quartos à Venda, 88m²
",88,3,2,1,350000,2021-04-28 
1607,vivareal.com/imovel/apartamento-2-quartos-areias-bairros-sao-jose-com-garagem-62m2-venda-RS189900-id-2510970775/,"Rua Joice Cecília Correia, 99 - Areias, São José - SC","Apartamento com 2 Quartos à Venda, 62m²
",62,2,1,1,189900,2021-04-28 
1608,vivareal.com/imovel/apartamento-3-quartos-campinas-bairros-sao-jose-com-garagem-98m2-venda-RS510000-id-2502263596/,"Campinas, São José - SC","Apartamento com 3 Quartos à Venda, 98m²
",98,3,2,2,510000,2021-04-28 
1609,vivareal.com/imovel/apartamento-3-quartos-areias-bairros-sao-jose-com-garagem-56m2-venda-RS210000-id-2510360092/,"Areias, São José - SC","Apartamento com 3 Quartos à Venda, 56m²
",56,3,1,1,210000,2021-04-28 
1610,vivareal.com/imovel/apartamento-3-quartos-campinas-bairros-sao-jose-com-garagem-141m2-venda-RS1082973-id-2473528281/,"Avenida Marechal Castelo Branco, 65 - Campinas, São José - SC","Apartamento com 3 Quartos à Venda, 141m²
",141,3,4,3,1082973,2021-04-28 
1611,vivareal.com/imovel/apartamento-3-quartos-barreiros-bairros-sao-jose-com-garagem-54m2-venda-RS145000-id-2504595995/,"Barreiros, São José - SC","Apartamento com 3 Quartos à Venda, 54m²
",54,3,1,1,145000,2021-04-28 
1612,vivareal.com/imovel/apartamento-2-quartos-fazenda-santo-antonio-bairros-sao-jose-com-garagem-75m2-venda-RS405000-id-2503042286/,"Rua Adélio Longo, 889 - Fazenda Santo Antonio, São José - SC","Apartamento com 2 Quartos à Venda, 75m²
",75,2,2,1,405000,2021-04-28 
1614,vivareal.com/imovel/apartamento-2-quartos-rocado-bairros-sao-jose-com-garagem-151m2-venda-RS430000-id-2485162900/,"Rua João Nilo Morfim - Roçado, São José - SC","Apartamento com 2 Quartos à Venda, 151m²
",151,2,1,1,430000,2021-04-28 
1615,vivareal.com/imovel/apartamento-2-quartos-kobrasol-bairros-sao-jose-com-garagem-72m2-venda-RS470000-id-2482988991/,"Rua João Batista Derner Neves, 30 - Kobrasol, São José - SC","Apartamento com 2 Quartos à Venda, 72m²
",72,2,2,1,470000,2021-04-28 
1616,vivareal.com/imovel/apartamento-3-quartos-floresta-bairros-sao-jose-com-garagem-126m2-venda-RS589137-id-2510611728/,"Rua Otávio do Patrocínio Medeiros - Floresta, São José - SC","Apartamento com 3 Quartos à Venda, 126m²
",126,3,2,1,589137,2021-04-28 
1617,vivareal.com/imovel/apartamento-3-quartos-barreiros-bairros-sao-jose-com-garagem-116m2-venda-RS600000-id-2503929644/,"Rua Santo Antônio, 0 - Barreiros, São José - SC","Apartamento com 3 Quartos à Venda, 116m²
",116,3,3,1,600000,2021-04-28 
1618,vivareal.com/imovel/apartamento-2-quartos-campinas-bairros-sao-jose-com-garagem-91m2-venda-RS450000-id-2511692983/,"Avenida Marechal Castelo Branco, 175 - Campinas, São José - SC","Apartamento com 2 Quartos à Venda, 91m²
",91,2,2,1,450000,2021-04-28 
1619,vivareal.com/imovel/apartamento-3-quartos-campinas-bairros-sao-jose-com-garagem-94m2-venda-RS470000-id-2470387381/,"Rua João Saturnino Ouriques, 600 - Campinas, São José - SC","Apartamento com 3 Quartos à Venda, 94m²
",94,3,2,1,470000,2021-04-28 
1620,vivareal.com/imovel/apartamento-2-quartos-barreiros-bairros-sao-jose-com-garagem-88m2-venda-RS195000-id-2501707283/,"Barreiros, São José - SC","Apartamento com 2 Quartos à Venda, 88m²
",88,2,1,1,195000,2021-04-28 
