,url,address,title,area,bedrooms,bathrooms,garages,price,date
35,vivareal.com/imovel/apartamento-3-quartos-areias-bairros-sao-jose-com-garagem-77m2-venda-RS339000-id-2509690777/,"Rua São Pedro, 1403 - Areias, São José - SC","Apartamento com 3 Quartos à Venda, 77m²",77,3,2,1,339000,2021-04-28 
36,vivareal.com/imovel/apartamento-3-quartos-jardim-cidade-de-florianopolis-bairros-sao-jose-com-garagem-73m2-venda-RS255000-id-2517338479/,"Jardim Cidade de Florianópolis, São José - SC","Apartamento com 3 Quartos à Venda, 73m²
",73,3,1,1,255000,2021-04-28 
38,vivareal.com/imovel/apartamento-3-quartos-areias-bairros-sao-jose-com-garagem-77m2-venda-RS339000-id-2509690777/,"Rua São Pedro, 1403 - Areias, São José - SC","Apartamento com 3 Quartos à Venda, 77m²
",77,3,2,1,339000,2021-04-28 
39,vivareal.com/imovel/apartamento-2-quartos-campinas-bairros-sao-jose-com-garagem-94m2-venda-RS659000-id-2517629987/,"Avenida Cruz e Souza, 0 - Campinas, São José - SC","Apartamento com 2 Quartos à Venda, 94m²
",94,2,3,2,659000,2021-04-28 
40,vivareal.com/imovel/apartamento-3-quartos-campinas-bairros-sao-jose-com-garagem-68m2-venda-RS220000-id-2513247706/,"Rua Professora Maria do Carmo Souza - Campinas, São José - SC","Apartamento com 3 Quartos à Venda, 68m²
",68,3,1,1,220000,2021-04-28 
41,vivareal.com/imovel/apartamento-2-quartos-estreito-bairros-sao-jose-com-garagem-73m2-venda-RS279000-id-2516230282/,"Rua Capitão Pedro Leite, 171 - Estreito, São José - SC","Apartamento com 2 Quartos à Venda, 73m²
",73,2,1,1,279000,2021-04-28 
42,vivareal.com/imovel/apartamento-3-quartos-campinas-bairros-sao-jose-com-garagem-107m2-venda-RS570000-id-2517929075/,"Avenida Salvador Di Bernardi, 430 - Campinas, São José - SC","Apartamento com 3 Quartos à Venda, 107m²
",107,3,2,2,570000,2021-04-28 
43,vivareal.com/imovel/apartamento-2-quartos-campinas-bairros-sao-jose-com-garagem-77m2-venda-RS350000-id-2489682070/,"Avenida Farroupilha - Campinas, São José - SC","Apartamento com 2 Quartos à Venda, 77m²
",77,2,1,1,350000,2021-04-28 
45,vivareal.com/imovel/apartamento-3-quartos-barreiros-bairros-sao-jose-com-garagem-106m2-venda-RS410000-id-2504098789/,"Barreiros, São José - SC","Apartamento com 3 Quartos à Venda, 106m²
",106,3,2,2,410000,2021-04-28 
46,vivareal.com/imovel/apartamento-3-quartos-kobrasol-bairros-sao-jose-com-garagem-118m2-venda-RS740000-id-2514953128/,"Rua Antônio Scherer, 764 - Kobrasol, São José - SC","Apartamento com 3 Quartos à Venda, 118m²
",118,3,3,2,740000,2021-04-28 
47,vivareal.com/imovel/apartamento-3-quartos-kobrasol-bairros-sao-jose-com-garagem-99m2-venda-RS450000-id-2517134890/,"Rua Emerson Ferrari - Kobrasol, São José - SC","Apartamento com 3 Quartos à Venda, 99m²
",99,3,2,1,450000,2021-04-28 
48,vivareal.com/imovel/apartamento-2-quartos-barreiros-bairros-sao-jose-com-garagem-65m2-venda-RS350000-id-2516799987/,"Rua Coronel Américo, 647 - Barreiros, São José - SC","Apartamento com 2 Quartos à Venda, 65m²
",65,2,2,1,350000,2021-04-28 
49,vivareal.com/imovel/apartamento-3-quartos-campinas-bairros-sao-jose-com-garagem-126m2-venda-RS495000-id-2516559121/,"Rua Osni João Vieira, 615 - Campinas, São José - SC","Apartamento com 3 Quartos à Venda, 126m²
",126,3,3,1,495000,2021-04-28 
50,vivareal.com/imovel/apartamento-3-quartos-campinas-bairros-sao-jose-67m2-venda-RS210000-id-2513134994/,"Rua Frei Hilário - Campinas, São José - SC","Apartamento com 3 Quartos à Venda, 67m²
",67,3,1,--,210000,2021-04-28 
52,vivareal.com/imovel/apartamento-2-quartos-campinas-bairros-sao-jose-com-garagem-70m2-venda-RS359000-id-2517782999/,"Avenida Brigadeiro da Silva Paes, 650 - Campinas, São José - SC","Apartamento com 2 Quartos à Venda, 70m²
",70,2,1,1,359000,2021-04-28 
53,vivareal.com/imovel/apartamento-2-quartos-praia-comprida-bairros-sao-jose-com-garagem-88m2-venda-RS430000-id-2490667879/,"Rua Felipe Domingos Petry, 600 - Praia Comprida, São José - SC","Apartamento com 2 Quartos à Venda, 88m²
",88,2,2,1,430000,2021-04-28 
54,vivareal.com/imovel/apartamento-2-quartos-areias-bairros-sao-jose-com-garagem-66m2-venda-RS275000-id-2492039627/,"Rua Fagundes Varela, 1187 - Areias, São José - SC","Apartamento com 2 Quartos à Venda, 66m²
",66,2,2,1,275000,2021-04-28 
